Question,UserID,Reason,VerbalCode1,Code1,CodeFamily1,VerbalCode2,Code2,CodeFamily2,Assess,Status,Correct,STimeViewed,SFix,SRevisits,KTimeViewed,KFix,KRevisits,PTimeViewed,PFix,PRevisits,Gender,Birth_Year,Ethnicity,ParentEduc,STVSQRT,KTVSQRT,PTVSQRT,KFixSQRT,SFixSQRT,PFixSQRT,SRevisitsSQRT,KRevisitsSQRT,PRevisitsSQRT,MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,SMDS1,SMDS2,SMDS3,Attention_Check,SMDS4,SMDS5,SMDS6,SMDS7,SMDS8,SMDS9,SMDS10,SMDS11,SMDS12,Risk1,Risk2,Risk3,Risk4,Risk5,Risk6,Risk7
3,21,I would say it's fake. Just the way some of it's worded and everything. I suppose.,false post looks fake,37,7, , , ,1,1,1,14.805,61,16,0.838,5,4,8.952,39,18,1,11,1,5,3.85,0.92,2.99,2.24,7.81,6.24,4,2,4.24,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
4,21,"""That's got to be fake. Like, the triple whammy approach just""",false post looks fake,37,7, , , ,1,1,1,7.557,26,6,2.645,14,11,5.275,19,4,1,11,1,5,2.75,1.63,2.3,3.74,5.1,4.36,2.45,3.32,2,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
5,21,"""Just like the other one, I'm going to say it's true, just because it's definitely something someone would say, whether accurate or not, but it could be a real tweet.""",looks possible/promising,29,6, , , ,2,1,2,6.654,30,15,4.55,23,12,0.624,4,3,1,11,1,5,2.58,2.13,0.79,4.8,5.48,2,3.87,3.46,1.73,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
6,21,"""I'd have to say the last one is true too. I don't have a reason why it wouldn't be, I suppose.""",no response,13,3, , , ,2,2,1,2.169,10,12,7.816,40,41,2.12,13,12,1,11,1,5,1.47,2.8,1.46,6.32,3.16,3.61,3.46,6.4,3.46,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
7,21,"""I'd say that one would have to be fake. Maybe not a fake post, but fake information.""",false post looks fake,37,7, , , ,1,1,1,6.243,25,16,3.171,16,11,0.937,7,5,1,11,1,5,2.5,1.78,0.97,4,5,2.65,4,3.32,2.24,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
8,21,"""I suppose that one falls off the last one, so based off someone spreading misinformation about the last one, this one would be true. Supposed to curb that.""",reliable claims,3,1, , , ,2,2,1,2.12,7.065,10,1.905,6.348,12,9.253,30.842,41,1,11,1,5,1.46,1.38,3.04,2.52,2.66,5.55,3.16,3.46,6.4,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
9,21,"""I feel like those ones have got to be fake, just from the fact that I've never heard about that whole thing.""",false post looks fake,37,7, , , ,1,1,1,1.627,5,3,6.145,24,13,3.927,16,11,1,11,1,5,1.28,2.48,1.98,4.9,2.24,4,1.73,3.61,3.32,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
10,21,"""It's probably true, it's just like a brand promotion thing.""",reliable ad,2,1, , , ,2,1,2,0,14.559,55,11.221,3.352,12,8.74,2.334,9,1,11,1,5,0,3.35,2.96,1.83,3.82,1.53,7.42,3.46,3,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
11,21,"""This definitely like a real pop up ad, but the question for that would be whether-- how much it actually helps, which it's probably minimal, if anything.""",false post is biased ad,33,7, , , ,1,1,1,2.793,9,5,5.109,22,8,0.936,7,7,1,11,1,5,1.67,2.26,0.97,4.69,3,2.65,2.24,2.83,2.65,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
12,21,I feel like that's fake. The politician saying that would probably be bad.,false post looks fake,37,7, , , ,1,1,1,1.855,10,11,10.151,35,16,6.574,28,13,1,11,1,5,1.36,3.19,2.56,5.92,3.16,5.29,3.32,4,3.61,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
13,21,That's probably true. I mean Nyquil does do that.,claims can be proven,26,5, , , ,2,2,1,0.197,2,1,3.829,20,10,1.462,5,1,1,11,1,5,0.44,1.96,1.21,4.47,1.41,2.24,1,3.16,1,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
14,21,Also probably true.,no response,13,3, , , ,2,2,1,5.011,21,13,10.385,46,14,0.46,2,1,1,11,1,5,2.24,3.22,0.68,6.78,4.58,1.41,3.61,3.74,1,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
15,21,"""Most likely that's a true post, but it's, like, fake information that either they heard from somewhere and are restating or made up.""",reliable article,2,1, , , ,2,1,2,8.888,41,22,3.368,21,20,0.18,1,1,1,11,1,5,2.98,1.84,0.42,4.58,6.4,1,4.69,4.47,1,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
16,21,That's true. It's just based off the information there.,reliable article,2,1, , , ,2,2,1,0.969,8,6,10.286,53,28,6.787,29,13,1,11,1,5,0.98,3.21,2.61,7.28,2.83,5.39,2.45,5.29,3.61,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
17,21,"""Once again, probably a true post.""",no response,13,3, , , ,2,1,2,0.97,6,6,8.594,46,36,3.861,20,13,1,11,1,5,0.98,2.93,1.96,6.78,2.45,4.47,2.45,6,3.61,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
18,21,"""Hmm, not sure about that last one. But I think that could be true.""",looks possible/promising,29,6, , , ,2,2,1,2.154,11,9,11.959,45,17,4.599,23,14,1,11,1,5,1.47,3.46,2.14,6.71,3.32,4.8,3,4.12,3.74,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
19,21,"""I'd say that's true, it just looks like a normal ad thing, but I suppose that doesn't mean it's true.""",reliable ad,1,1, , , ,2,1,2,2.463,15,13,11.811,40,17,1.331,7,5,1,11,1,5,1.57,3.44,1.15,6.32,3.87,2.65,3.61,4.12,2.24,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
20,21,I'd say fake at least hopefully it's fake otherwise I would be in some trouble.,false post looks fake,37,7, , , ,1,2,2,1.84,12,10,13.075,53,29,8.791,37,23,1,11,1,5,1.36,3.62,2.96,7.28,3.46,6.08,3.16,5.39,4.8,4,5,2,3,1,1,1,1,1,1,1,4,3,4,3,2,5,5,5,1,5,5,5,5,5,4,6,6,5,6,6
1,22,"""Right off the bat, I just feel like this is completely false. And why I think that is it's not-- I don't think it's really possible for something like that to happen. So based on my knowledge of how vaccines work.""",obvious falsehood,56,10,familiarity,15,4,1,1,1,3.073,13,6,13.193,43,14,3.152,16,10,1,11,1,5,1.75,3.63,1.78,6.56,3.61,4,2.45,3.74,3.16,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
2,22,"""I would think this one to be true. The FDA is typically a reliable source, as it is controlled by the government and they're just talking about two random elements there that-- I mean it just sounds-- nothing about it looks dishonest.""",FDA,7,2, , , ,2,2,1,4.19,14,10,7.852,29,20,1.938,9,5,1,11,1,5,2.05,2.8,1.39,5.39,3.74,3,3.16,4.47,2.24,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
3,22,"""I don't know if this is-- probably not honest. There's all sorts of sites that always just say the celebrity did this and that 16/8 fasting type might work, but I'm just not sure, probably not honest.""",false post too good to be true,38,7, , , ,1,1,1,18.68,57,10,2.07,9,6,2.333,13,6,1,11,1,5,4.32,1.44,1.53,3,7.55,3.61,3.16,2.45,2.45,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
4,22,"""Yeah, this just looks kind of sketchy. It doesn't look real. [Inaudible; 0:02:14.6] it maybe helps with symptoms of a cold, but I mean I don't think it's a real cure.""",false post looks fake,37,7, , , ,1,1,1,7.244,29,10,1.183,5,5,5.83,21,9,1,11,1,5,2.69,1.09,2.41,2.24,5.39,4.58,3.16,2.24,3,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
5,22,"""Given that the Twitter name indicates that they're a doctor they may have some sort of insight about this, but it's not enough to fully believe that to be true. They may be onto something, I don't know, but probably not.""",unsubstantiated claims,54,10, , , ,1,1,1,5.537,21,12,4.845,21,7,0.542,2,0,1,11,1,5,2.35,2.2,0.74,4.58,4.58,1.41,3.46,2.65,0,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
6,22,"""I believe that to be true. It's by the FDA and chlorine dioxide sounds like something that would make you sick. I mean it's got chlorine in it, I know that's not healthy.""",FDA,7,2,familiarity,15,4,2,2,1,1.167,6,5,2.135,12,16,0.855,4,2,1,11,1,5,1.08,1.46,0.92,3.46,2.45,2,2.24,4,1.41,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
7,22,"""I believe this one to be a little on the non-honest side as it talks about right and left. It gets into political affiliations, which has nothing to do with the virus itself.""",false post not accurate,62,10, , , ,1,1,1,1.856,13,10,1.017,7,5,1.529,11,9,1,11,1,5,1.36,1.01,1.24,2.65,3.61,3.32,3.16,2.24,3,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
8,22,So it looks like they're talking about a certain drug is used for horses and should not be used for humans and people keep pushing on it to be used for humans. I mean that's probably accurate.,looks possible/promising,29,6, , , ,2,2,1,3.337,11.123,18,5.734,19.114,23,5.519,18.398,26,1,11,1,5,1.83,2.39,2.35,4.37,3.34,4.29,4.24,4.8,5.1,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
9,22,"""Yeah, I feel like that one's really pushing the boundaries of what's accurate.""",false post not accurate,62,10, , , ,1,1,1,2.94,9,3,0.871,8,7,2.349,12,9,1,11,1,5,1.71,0.93,1.53,2.83,3,3.46,1.73,2.65,3,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
10,22,"""Something about this one-- it's kind of odd is that the all have asterisks next to every point, which makes it feel like it's just some wild claim, not necessarily proven, or there would be some other insight you would need to read before making an accurate assumption on that product.""",unsubstantiated claims,54,10, , , ,1,1,1,0.969,11.829,39,0.377,5.553,17,0.033,1.906,6,1,11,1,5,0.98,0.61,0.18,2.36,3.44,1.38,6.24,4.12,2.45,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
11,22,"""And I see this stuff all the time where they try to push the trial in your face, so it probably doesn't really work all that well. It just looks like a classic-- something that says it does all of this and that, but doesn't actually work. But, they do have Men's Health and Muscle Fitness listed. Men's Health I've heard of, so maybe it's somewhat legit.""",false post is biased ad,33,7, , , ,1,1,1,1.56,7,4,1.889,12,10,1.674,8,5,1,11,1,5,1.25,1.37,1.29,3.46,2.65,2.83,2,3.16,2.24,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
12,22,"""Newsweek-- I've never heard of that. So I believe this headline what he said is true, but I don't agree with what was being said.""",false post has no credentials,63,10, , , ,1,1,1,5.57,24,16,9.887,41,25,1.593,10,6,1,11,1,5,2.36,3.14,1.26,6.4,4.9,3.16,4,5,2.45,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
13,22,"""This seems accurate. I would believe this. There's no source on who's posting this or what website this is, but it seems pretty accurate.""",looks possible/promising,29,6, , , ,2,2,1,0.673,2,1,2.185,11,7,2.924,13,7,1,11,1,5,0.82,1.48,1.71,3.32,1.41,3.61,1,2.65,2.65,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
14,22,"""This seems pretty believable. The fact that he includes a link to the CDC site, cites his source helps make it more believable. But then, again, he's not he's just some random guy on Twitter.""",CDC,6,2,links,16,4,2,2,1,4.996,21,9,13.061,42,8,0,0,0,1,11,1,5,2.24,3.61,0,6.48,4.58,0,3,2.83,0,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
15,22,This just seems like some random person saying that's just got some a little more not traditional-- I don't know-- I don't know how you'd say that. A little more extremist. Thinks a very certain way. Not really believable.,false post from random person,59,10, , , ,1,1,1,11.861,43,16,3.022,12,5,0.641,3,2,1,11,1,5,3.44,1.74,0.8,3.46,6.56,1.73,4,2.24,1.41,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
16,22,"""I believe this one. I mean it's mainly antibiotics obviously don't treat viruses, they treat bacterial infections. And that was a verified source on Twitter. It looks like some kind of medical company or hospital or something.""",antibiotics for bacteria,22,5,verified,17,4,2,2,1,1.856,9,6,18.859,58,17,0.494,2,0,1,11,1,5,1.36,4.34,0.7,7.62,3,1.41,2.45,4.12,0,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
17,22,"""This one seems to be truthful, as it doesn't really it's just saying what happened. Not really pushing its views on anybody or it's not really opinionated.""",reliable article,2,1, , , ,2,1,2,5.109,21,21,4.666,25,19,2.284,9,7,1,11,1,5,2.26,2.16,1.51,5,4.58,3,4.58,4.36,2.65,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
18,22,"""I would lean this one on the truthful side as well, as they cite an FDA source there. And she had PHD in her name, I guess. That would definitely be one to look into more, but""",FDA,7,2,reliable/credible source,5,2,2,2,1,6.277,22,15,8.265,33,13,6.554,22,6,1,11,1,5,2.51,2.87,2.56,5.74,4.69,4.69,3.87,3.61,2.45,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
19,22,"""This one looks like some kind of-- yeah, it's a supplement so what it's probably saying is probably true, but it has to be taken with a grain of salt. It's not going to cure diabetes or anything. It's just a supplement that's supposed to maybe help promote certain things.""",reliable ad,1,1, , , ,2,1,2,4.567,15,13,8.856,30,15,1.561,8,4,1,11,1,5,2.14,2.98,1.25,5.48,3.87,2.83,3.61,3.87,2,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
20,22,"""This is probably accurate. I don't know how much they do research on-- or how much the FDA actually looks into certain supplements. So, it's possible that there's stuff put into it. And it's from Harvard--""",looks possible/promising,29,6,Harvard,8,2,2,2,1,5.898,32,31,10.925,41,19,6.226,21,8,1,11,1,5,2.43,3.31,2.5,6.4,5.66,4.58,5.57,4.36,2.83,4,4,2,3,3,1,2,4,1,2,1,4,3,2,3,4,5,3,4,4,5,3,5,5,7,6,7,6,8,3,5
1,23,"""So, a lot of times when I see religious implications on posts it leads me to believe that it's not super unbiased. So, that does lead me to believe this one is fake-- especially when showing that you should reference a book that's very old, to see something so modern. Just seeing the Newsmax in the title also makes me not super trustworthy on that.""",false post looks fake,37,7,unsubstantiated claims,54,10,1,1,1,1.396,8,7,9.563,32,8,5.323,23,15,1,12,1,6,1.18,3.09,2.31,5.66,2.83,4.8,2.65,2.83,3.87,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
2,23,"""So this one-- I see it's from the FDA Drug Information, with their blue checkmark. So, that makes me believe that this is credible. I see a lot of-- it seems to be that they're just talking about something that seems legit. It's not using a bunch of scare tactics or anything. It's just kind of getting to the point. Nothing it's not trying to influence me at all. It's just showing what they have.""",FDA,7,2,verified,17,4,2,2,1,2.069,11,7,3.517,22,24,5.619,23,13,1,12,1,6,1.44,1.88,2.37,4.69,3.32,4.8,2.65,4.9,3.61,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
3,23,"""This one-- this looks like something I'd see out of a celebrity news blog. It's by a DoFasting [assumed spelling; 00:01:31] account, which doesn't look super legit. No blue checkmark. It's not really citing anything, it's just showing what they-- it looks like their own post. It makes me believe this is not true. And she's not-- it doesn't look like she wrote it herself.""",false post is biased ad,33,7,false post has no credentials,63,10,1,1,1,13.389,53,21,1.282,7,4,8.822,38,23,1,12,1,6,3.66,1.13,2.97,2.65,7.28,6.16,4.58,2,4.8,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
4,23,This one it just looks like something anybody could have written up. It doesn't look like something professionally done. Anybody can type up and put M.D. and print out an RX and all of that. So it makes me I wouldn't it would kind of depend on who was posting this for me to believe whether or not it was credible. If it was just a random account I probably wouldn't believe it.,false post unprofessional,60,10,false post from random person,59,10,1,1,1,15.247,56,12,0.525,4,2,3.731,18,8,1,12,1,6,3.9,0.72,1.93,2,7.48,4.24,3.46,1.41,2.83,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
5,23,"""This one a lot of times it looks like it is trying to influence my thinking. She has MD and 'Doctor' in her profile name, but I probably would have to do some more research to actually believe that, since she doesn't have a blue checkmark I don't know how credible she is. So, I would say this one is not true.""",false post has no credentials,63,10, , , ,1,1,1,5.815,27,17,6.26,31,15,0.394,3,1,1,12,1,6,2.41,2.5,0.63,5.57,5.2,1.73,4.12,3.87,1,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
6,23,"""This one, again, is by the official FDA account, blue checkmark, so it looks like it would be credible. Once again, just giving me the information, not trying to-- no #fear or anything in it. It looks like it's believable. Drinking chlorine dioxide can cause that stuff. I would believe that from this account. So I would believe this is credible. And they are linking an official government website.""",FDA,7,2,verified,17,4,2,2,1,2.105,16,17,4.469,28,26,4.239,25,18,1,12,1,6,1.45,2.11,2.06,5.29,4,5,4.12,5.1,4.24,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
7,23,"""This one I would believe would be misinformation because it's just talking about something. It's not citing whether who they got this information from. And they do call out at the bottom that the parties shouldn't care, that you should believe this, which is usually a sign to me that it's not true.""",false post has no credentials,63,10, , , ,1,1,1,1.527,10,5,0.723,8,6,0.739,7,7,1,12,1,6,1.24,0.85,0.86,2.83,3.16,2.65,2.24,2.45,2.65,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
8,23,"""And then in contrast to this one, again, by the FDA it looks like they're just trying to,  you know, [inaudible; 0:04:00.7] that people are using ivermectin. So, I would believe this one is credible. It looks like they almost can't believe they had to make that post. Not much more to say on this one.""",FDA,7,2, , , ,2,2,1,1.775,5.917,9,3.549,11.83,13,12.338,41.128,55,1,12,1,6,1.33,1.88,3.51,3.44,2.43,6.41,3,3.61,7.42,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
9,23,"""This one I would believe is misinformation. It'sit's says it's by a doctor at the bottom, but it's not really citing any studies or where they got this from. It's just kind of saying, """"Keep this on--"""" It kind of seems a little, like, they're afraid of something, as well. They were talking about, like, the end of the world stuff.""",obvious falsehood,56,10, , , ,1,1,1,2.548,10,5,7.345,37,23,1.119,7,5,1,12,1,6,1.6,2.71,1.06,6.08,3.16,2.65,2.24,4.8,2.24,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
10,23,"""This one looks fake. It looks like it would be something that I would see on TV at three in the morning. It's just not it's just kind of when I see real stuff it's usually not trying to pop out and look like it's selling me something. This looks like it's trying to sell me something, whereas official doctors and the FDA and stuff don't have any reason to try and sell me products. This looks like it's trying to sell me a product.""",false post looks fake,37,7,false post is biased ad,33,7,1,1,1,0.296,11.895,50,5.8,2.349,9,8.939,1.692,9,1,12,1,6,0.54,2.41,2.99,1.53,3.45,1.3,7.07,3,3,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
11,23,"""And the same applies to this one. It's very obviously trying to sell me a product with the big guy. There are all of those checkmarks showing what it will do, but it doesn't have any cited information about why it boosts your muscle. So, I would say this one is fake. It looks like it's on a Facebook post, which adds to my doubting of it. They do say it's in Men's Health, but Men's Health and Fitness they're trying to sell stuff too.""",false post looks fake,37,7,false post is biased ad,33,7,1,1,1,0.608,5,3,1.512,9,6,3.696,18,11,1,12,1,6,0.78,1.23,1.92,3,2.24,4.24,1.73,2.45,3.32,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
12,23,"""There's-- this one I would call misinformation. It's just because it's from Ben Carson, who I have seen controversial stuff come from. And it looks like he's just-- it looks like fear mongering and doubting of something. I have known him to be doing that before. It is from Newsweek, which I don't really know a bunch about, but it's not bad one that I've known about.""",obvious falsehood,56,10, , , ,1,1,1,3.071,15,15,7.968,40,16,9.007,34,10,1,12,1,6,1.75,2.82,3,6.32,3.87,5.83,3.87,4,3.16,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
13,23,This one looks-- this one looks like it could be real. It's not talking about anything that I need to be doing. It's just saying what can happen. It doesn't look like they're trying to sell me something.,reliable article,2,1, , , ,2,2,1,0.87,5,5,3.204,20,11,0.591,4,2,1,12,1,6,0.93,1.79,0.77,4.47,2.24,2,2.24,3.32,1.41,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
14,23,"""This one-- it's from an account that doesn't look like it's an official source or anything. They are citing the CDC, which would make me believe-- if it didn't have that CDC citing I wouldn't believe this at all, but I would believe it, if what he's saying right here backs into the CDC that he's linking. But, he's linking like, he's talking he's arguing with someone against""",CDC,6,2,links,16,4,2,2,1,3.975,22,11,13.656,65,22,0.132,1,1,1,12,1,6,1.99,3.7,0.36,8.06,4.69,1,3.32,4.69,1,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
15,23,"""I would say this one is fake Yolanda a bunch of numbers behind, usually not a good thing when they have that kind of name. It looks like they're just saying things that have no citation. Talking about taking antibiotics and stuff for-- they don't look like a doctor as well. So I'm not sure-- I would never believe anything they said about that.""",obvious falsehood,56,10,false post looks fake,37,7,1,1,1,6.886,36,19,8.131,43,31,1.166,5,2,1,12,1,6,2.62,2.85,1.08,6.56,6,2.24,4.36,5.57,1.41,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
16,23,"""I don't quite know the SCDHEC [assumed spelling; 0:07:59.0], but they're verified and they look like an official account. They look like they're just clarifying antibiotics versus virus. I would say this one's real. They're not-- they're just promoting talking to your pharmacist and they do have a source linked.""",verified,17,4,antibiotics for bacteria,22,5,2,2,1,1.185,10,12,13.178,58,33,3.729,22,8,1,12,1,6,1.09,3.63,1.93,7.62,3.16,4.69,3.46,5.74,2.83,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
17,23,This one has-- I usually start out by looking at the name. [Inaudible; 0:08:31.9] doesn't lead me to believe that it's a super credible source. He has a picture here which could have easily been picked up off Google. And he's citing stuff with-- or he's talking about stuff with no citation of where he got that information. So this one looks very fake.,false post has no credentials,63,10,photo,20,20,1,1,1,2.052,16,19,5.848,36,27,5.258,25,12,1,12,1,6,1.43,2.42,2.29,6,4,5,4.36,5.2,3.46,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
18,23,"""This one it's citing an FDA Drug information one, but her name is-- she has M.D. and PHD in her name, but also anybody could do that. And her name is @JudeGirl [assumed spelling; 0:09:11.2], so I would say this one is a little-- I would say it's misleading, because I would guess that the FDA one is not quite what she's saying.""",false post has no credentials,63,10, , , ,1,2,2,3.403,24,19,8.689,46,29,7.54,38,22,1,12,1,6,1.84,2.95,2.75,6.78,4.9,6.16,4.36,5.39,4.69,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
19,23,"""I would say that this one fake, just once again looks like it's trying to sell me something, that's why there's the bright colors. It's trying to show a healthy man. Using what looks like big buzz words, which an average person probably wouldn't know what they mean. Targeting someone with diabetes, it looks like. I would say that one is fake. Just once again like one of those commercials or ads, they're just trying to target you.""",false post looks fake,37,7,false post is biased ad,33,7,1,1,1,4.667,23,16,4.599,20,7,4.961,20,12,1,12,1,6,2.16,2.14,2.23,4.47,4.8,4.47,4,2.65,3.46,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
20,23,"""This one is from Harvard Public Health, which I would consider to be a very reputable source. They are citing their study. So, I would say this one is real. They're just kind of saying what they found. They're not telling you what you should do. They're just saying what they've found.""",Harvard,8,2,links,16,4,2,2,1,1.561,11,10,13.77,57,33,7.871,42,28,1,12,1,6,1.25,3.71,2.81,7.55,3.32,6.48,3.16,5.74,5.29,4,4,1,2,4,1,1,4,1,3,1,2,2,2,3,5,4,4,4,4,5,5,4,4,9,7,7,2,9,6,2
1,24,"""Yeah, that-- that's pretty dubious. It just seems like really emotionally charged. I don't think it's really honest or anything like that. Bioluminescent marker-- all of this stuff they've thrown around. They don't really have any proof of nothing in it. It's just weird. And it's, like, who is this person? And then it's just very heavily religious. So, I just don't think I trust them.""",false post looks fake,37,7,unsubstantiated claims,54,10,1,1,1,3.55,24,21,6.343,30,15,8.804,35,24,2,13,7,5,1.88,2.52,2.97,5.48,4.9,5.92,4.58,3.87,4.9,4,5,2,2,5,1,4,2,1,1,1,4,1,3,3,5,4,3,4,3,5,5,5,5,9,8,8,3,9,5,2
2,24,"""I would have to read the article for this one. I don't really-- I mean I know it's from the FDA, but it's like I'd want to look more into it and like what they mean about it. I don't really feel anything to be honest. I would say it's honest and true though. I would believe it, but I would just scroll past it, not really thinking of anything.""",FDA,7,2,looks possible/promising,29,6,2,2,1,3.582,21,17,3.516,23,22,5.798,32,16,2,13,7,5,1.89,1.88,2.41,4.8,4.58,5.66,4.12,4.69,4,4,5,2,2,5,1,4,2,1,1,1,4,1,3,3,5,4,3,4,3,5,5,5,5,9,8,8,3,9,5,2
